"Submission ID","Last updated","Submission started","Status","Current step","Welche Hochschule besuchen Sie?Which university do you attend?","Was ist Ihre tägliche Bildschirmzeit auf Ihrem Smartphone?What is your daily screen time on your smartphone","Errors","Url","Network ID"
"4f68ffe0-4a80-4eb8-ae94-a8efc74344b4","Fri Dec 06 2024 14:23:00 GMT+0100 (Central European Standard Time)","Fri Dec 06 2024 14:23:00 GMT+0100 (Central European Standard Time)","finished","Ending","Technische Hochschule Ingolstadt","2","None","https://build.fillout.com/editor/r3SBqVb2jDus/results?sessionId=4f68ffe0-4a80-4eb8-ae94-a8efc74344b4","2e7fa927de92b1b30b26c5344970c6c9"
"4b105409-929e-4671-9684-0b6f614cb603","Thu Dec 05 2024 23:04:00 GMT+0100 (Central European Standard Time)","Thu Dec 05 2024 23:04:00 GMT+0100 (Central European Standard Time)","finished","Ending","Technische Hochschule Mittelhessen","3","None","https://build.fillout.com/editor/r3SBqVb2jDus/results?sessionId=4b105409-929e-4671-9684-0b6f614cb603","944e623be6a7294197fbee2be204ca9f"
"5f703ee3-46b9-4e67-aa43-d06c83cd0cb5","Thu Dec 05 2024 18:56:00 GMT+0100 (Central European Standard Time)","Thu Dec 05 2024 18:56:00 GMT+0100 (Central European Standard Time)","finished","Ending","Technische Hochschule Mittelhessen","4","None","https://build.fillout.com/editor/r3SBqVb2jDus/results?sessionId=5f703ee3-46b9-4e67-aa43-d06c83cd0cb5","c3776d00506d1e60d852ddf69bfe16b1"
"a1f5d378-30ef-4c34-affa-6ec17020df87","Thu Dec 05 2024 18:40:00 GMT+0100 (Central European Standard Time)","Thu Dec 05 2024 18:40:00 GMT+0100 (Central European Standard Time)","finished","Ending","Technische Hochschule Ingolstadt","3","None","https://build.fillout.com/editor/r3SBqVb2jDus/results?sessionId=a1f5d378-30ef-4c34-affa-6ec17020df87","e0b13f010d88257c042b7eddfe1a100e"
"34fae206-876a-407b-90eb-7d89f2fb0d68","Thu Dec 05 2024 18:11:00 GMT+0100 (Central European Standard Time)","Thu Dec 05 2024 18:11:00 GMT+0100 (Central European Standard Time)","finished","Ending","Technische Hochschule Mittelhessen","8","None","https://build.fillout.com/editor/r3SBqVb2jDus/results?sessionId=34fae206-876a-407b-90eb-7d89f2fb0d68","2426b6caa97f7637a608299374ede78d"
"1450b6c9-1b81-42ca-b3c5-dbf2be01fe99","Thu Dec 05 2024 17:47:00 GMT+0100 (Central European Standard Time)","Thu Dec 05 2024 17:47:00 GMT+0100 (Central European Standard Time)","finished","Ending","Technische Hochschule Mittelhessen","4","None","https://build.fillout.com/editor/r3SBqVb2jDus/results?sessionId=1450b6c9-1b81-42ca-b3c5-dbf2be01fe99","298b1eec5b43ce479e3d38c5e170fb3e"
"35fe5f40-2aa4-44b9-a98d-370be5bdc7a5","Thu Dec 05 2024 17:33:00 GMT+0100 (Central European Standard Time)","Thu Dec 05 2024 17:33:00 GMT+0100 (Central European Standard Time)","finished","Ending","Technische Hochschule Mittelhessen","10","None","https://build.fillout.com/editor/r3SBqVb2jDus/results?sessionId=35fe5f40-2aa4-44b9-a98d-370be5bdc7a5","9ecef20274a0a2a07eecbd0e1ebdd92b"
"855aeb04-1583-4f49-8b01-89f22fbe32f4","Thu Dec 05 2024 17:30:00 GMT+0100 (Central European Standard Time)","Thu Dec 05 2024 17:30:00 GMT+0100 (Central European Standard Time)","finished","Ending","Technische Hochschule Mittelhessen","5","None","https://build.fillout.com/editor/r3SBqVb2jDus/results?sessionId=855aeb04-1583-4f49-8b01-89f22fbe32f4","eddbc0aa887eca90e24caeca1d9f6749"
"4a96e3b9-a664-4e81-8d50-810b8cafe07b","Thu Dec 05 2024 17:30:00 GMT+0100 (Central European Standard Time)","Thu Dec 05 2024 17:30:00 GMT+0100 (Central European Standard Time)","finished","Ending","Technische Hochschule Mittelhessen","2","None","https://build.fillout.com/editor/r3SBqVb2jDus/results?sessionId=4a96e3b9-a664-4e81-8d50-810b8cafe07b","a0aac4df2624d35341198fc99d98a92c"
"b0f81d1e-b0bb-4c89-8089-6d124584347f","Thu Dec 05 2024 17:18:00 GMT+0100 (Central European Standard Time)","Thu Dec 05 2024 17:18:00 GMT+0100 (Central European Standard Time)","finished","Ending","Technische Hochschule Mittelhessen","5","None","https://build.fillout.com/editor/r3SBqVb2jDus/results?sessionId=b0f81d1e-b0bb-4c89-8089-6d124584347f","1031ae56e16501edab7c9220041044a7"
